frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
19,0.95,-0.143,0.728,0.602,3.51,0.37,-0.58,null,null
0,0.95,1.061,-0.51,1.156,336.41,-44.71,42.94,null,null
1,0.95,0.38,0.606,1.267,-0.7,-32.41,-17.4,null,null
2,0.95,0.568,0.753,-0.896,27.01,-95.28,-34.88,null,null
3,0.95,3.003,-1.495,-3.28,407.09,-277.69,-36.01,null,null
4,0.95,0.323,0.618,1.126,-37.02,-53.99,-8.39,null,null
5,0.95,0.66,0.749,-1.081,20.23,-67.32,-28.08,null,null
6,0.95,1.444,2.163,-0.618,-216.53,83.53,19.78,null,null
7,0.95,0.541,0.416,0.96,-12.79,-123.57,-10.9,null,null
8,0.95,0.606,0.816,-1.34,13.76,114.14,-8.79,null,null
9,0.95,0.072,-0.031,1.241,-232.61,142.31,71.2,null,null
10,0.95,0.482,0.502,0.896,-6.9,-212.68,-53.65,null,null
11,0.95,0.394,0.806,-1.587,-11.69,145.79,10.59,null,null
12,0.95,0.384,2.242,0.485,-247.63,126.32,-64.33,null,null
13,0.95,0.502,0.532,0.847,-39.37,-166.45,-21.39,null,null
14,0.95,0.648,0.911,-1.962,6.26,-17.15,12.54,null,null
15,0.95,2.092,-1.499,-1.391,123.78,-30.88,139.62,null,null
16,0.95,0.497,0.543,0.994,9.28,-134.77,-29.02,null,null
17,0.95,0.429,1.086,-1.568,27.01,-153.05,-37.45,null,null
18,0.95,0.202,0.943,-0.039,11.93,410.54,27.74,null,null
19,0.95,0.562,0.627,1.116,3.05,-138.95,-37.08,null,null
0,0.95,0.515,0.701,0.343,-8.76,-266.43,-64.18,null,null
1,0.95,0.245,0.461,-1.886,-22.61,141.12,57.77,null,null
2,0.95,3.128,-2.259,-1.691,98.48,-212.81,44.01,null,null
3,0.95,0.609,0.688,0.307,-53.35,-232.58,-28.93,null,null
4,0.95,0.461,0.362,-1.802,5.07,121.83,55.7,null,null
5,0.95,3.49,-3.933,-2.331,336.77,-235.54,80.97,null,null
6,0.95,0.724,0.806,0.699,-34.73,-209.42,-50.87,null,null
7,0.95,0.417,0.695,-1.807,46.11,-84.41,18.46,null,null
8,0.95,-0.164,0.696,1.912,-82.89,599.51,13.64,null,null
9,0.95,0.684,0.562,0.966,2.99,-173.13,-30.88,null,null
10,0.95,0.371,0.842,-1.788,72.45,-195.5,-1.04,null,null
11,0.95,-0.495,1.016,2.067,-52.92,534.41,-16.75,null,null
12,0.95,0.449,0.532,1.535,14.62,-77.18,-39.46,null,null
13,0.95,0.437,0.757,-1.937,107.09,-252.97,-8.45,null,null
14,0.95,-1.777,2.372,3.785,-131.81,487.78,-41.26,null,null
15,0.95,0.568,0.754,0.793,26.43,-198.43,-10.07,null,null
16,0.95,0.546,0.351,-2.065,-11.2,-105.99,40.83,null,null
17,0.95,-0.003,0.391,0.177,-80.02,521.62,5.92,null,null
18,0.95,0.688,0.528,0.865,66.96,-126.74,-41.05,null,null
19,0.95,0.519,0.782,-1.895,41.35,-144.57,-3.85,null,null
0,0.95,0.295,0.395,-0.675,84.41,-331.55,-75.96,null,null
1,0.95,0.284,0.118,-1.132,-18.43,391.49,-14.16,null,null
2,0.95,-0.049,-0.607,1.688,-207.56,138.92,89.42,null,null
3,0.95,0.434,0.509,-0.133,56.03,-264.44,-48.16,null,null
4,0.95,0.413,-0.042,-1.29,-42.02,334.97,27.16,null,null
5,0.95,-0.053,-0.193,1.619,-152.32,160.89,54.41,null,null
6,0.95,0.529,0.366,-0.238,72.3,-256.23,-27.92,null,null
7,0.95,-0.126,0.327,1.814,-94.52,447.89,-4.82,null,null
8,0.95,0.683,0.306,1.77,26.46,-16.3,-7.57,null,null
9,0.95,0.801,0.297,-1.969,64.12,-147.71,16.79,null,null
10,0.95,2.069,3.209,-0.151,-293.47,78.55,-80.23,null,null
11,0.95,0.67,0.121,0.496,-53.19,-216.59,-14.59,null,null
12,0.95,0.585,0.01,-1.456,-51.24,295.82,20.63,null,null
13,0.95,0.63,-0.443,1.638,-146.98,167.61,-6.44,null,null
14,0.95,0.353,0.733,-0.886,127.48,-310.19,-58.29,null,null
15,0.95,-0.219,1.631,2.617,136.72,57.56,43.95,null,null
16,0.95,0.253,0.209,1.741,28.99,-46.14,-8.21,null,null
17,0.95,0.592,0.589,-1.658,88.23,-223.94,-5.4,null,null
18,0.95,2.025,-0.959,-2.212,451.22,-328.87,76.24,null,null
19,0.95,0.425,0.409,1.549,47.85,-98.21,-43.61,null,null
0,0.95,0.664,0.451,0.436,17.7,-259.53,-21.0,null,null
1,0.95,0.57,-0.204,-1.55,-103.34,251.63,17.91,null,null
2,0.95,0.374,0.512,2.22,12.09,129.76,12.27,null,null
3,0.95,0.726,0.167,-0.997,96.65,-237.22,-2.72,null,null
4,0.95,2.556,2.028,-1.2,-211.83,163.21,-50.39,null,null
5,0.95,0.442,0.442,0.99,39.28,-181.16,-33.08,null,null
6,0.95,0.542,0.327,-1.429,146.73,-249.03,-17.18,null,null
7,0.95,3.521,-1.87,-3.453,635.33,-212.84,-4.39,null,null
8,0.95,0.539,0.512,1.184,72.57,-157.93,-49.23,null,null
9,0.95,0.553,0.809,-2.021,32.59,-175.42,-7.05,null,null
10,0.95,1.435,-0.393,1.055,253.21,-99.61,83.77,null,null
11,0.95,0.331,0.123,1.714,85.09,-27.56,-15.96,null,null
12,0.95,0.76,0.729,-2.116,95.71,-133.27,5.22,null,null
13,0.95,2.508,-1.562,-1.672,441.21,-231.7,27.99,null,null
14,0.95,0.598,0.637,0.851,5.92,-163.06,-33.11,null,null
15,0.95,0.668,0.714,-1.784,53.07,-93.81,-4.18,null,null
16,0.95,-0.343,1.862,3.129,21.85,179.14,-20.02,null,null
17,0.95,0.463,0.516,1.243,85.06,-63.81,-23.83,null,null
18,0.95,0.587,0.721,-1.223,77.67,-197.61,-21.67,null,null
19,0.95,0.566,0.666,1.364,98.97,-134.28,48.16,null,null
0,0.95,-0.058,-0.343,1.843,-85.94,78.46,76.05,null,null
