frame_index,timestamp,gesture,trial,elapsed,dataset_source,confidence,num_points,points,range_profile,motion_score
183,2026-07-26T23:43:10.375676+00:00,pull,4,0.314271,session_20260726_234022,0.0,0,[],null,0.0
184,2026-07-26T23:43:10.480740+00:00,pull,4,0.419326,session_20260726_234022,0.0,0,[],null,0.0
185,2026-07-26T23:43:10.585791+00:00,pull,4,0.524376,session_20260726_234022,0.0,0,[],null,0.0
186,2026-07-26T23:43:10.690854+00:00,pull,4,0.629449,session_20260726_234022,0.0,0,[],null,0.0
187,2026-07-26T23:43:10.795920+00:00,pull,4,0.734516,session_20260726_234022,0.0,0,[],null,0.0
188,2026-07-26T23:43:10.897569+00:00,pull,4,0.836166,session_20260726_234022,0.0,0,[],null,0.0
189,2026-07-26T23:43:11.002638+00:00,pull,4,0.941231,session_20260726_234022,0.0,0,[],null,0.0
190,2026-07-26T23:43:11.102956+00:00,pull,4,1.041543,session_20260726_234022,0.0,0,[],null,0.0
191,2026-07-26T23:43:11.208037+00:00,pull,4,1.146636,session_20260726_234022,0.0,0,[],null,0.0
192,2026-07-26T23:43:11.313128+00:00,pull,4,1.251729,session_20260726_234022,0.0,0,[],null,0.0
193,2026-07-26T23:43:11.418208+00:00,pull,4,1.356804,session_20260726_234022,0.0,0,[],null,0.0
194,2026-07-26T23:43:11.520563+00:00,pull,4,1.45916,session_20260726_234022,0.0,0,[],null,0.0
195,2026-07-26T23:43:11.625628+00:00,pull,4,1.564219,session_20260726_234022,0.0,0,[],null,0.0
196,2026-07-26T23:43:11.728386+00:00,pull,4,1.666977,session_20260726_234022,0.0,0,[],null,0.0
197,2026-07-26T23:43:11.830805+00:00,pull,4,1.769398,session_20260726_234022,0.0,0,[],null,0.0
198,2026-07-26T23:43:11.934018+00:00,pull,4,1.872611,session_20260726_234022,0.0,0,[],null,0.0
199,2026-07-26T23:43:12.039098+00:00,pull,4,1.977704,session_20260726_234022,0.0,0,[],null,0.0
200,2026-07-27T00:01:56.863476+00:00,left,1,5.3e-05,session_20260726_234022,0.0,0,[],null,0.0
201,2026-07-27T00:01:56.968579+00:00,left,1,0.105153,session_20260726_234022,0.0,0,[],null,0.0
202,2026-07-27T00:01:57.073677+00:00,left,1,0.210252,session_20260726_234022,0.0,0,[],null,0.0
203,2026-07-27T00:01:57.175254+00:00,left,1,0.311826,session_20260726_234022,0.0,0,[],null,0.0
204,2026-07-27T00:01:57.280340+00:00,left,1,0.416904,session_20260726_234022,0.0,0,[],null,0.0
205,2026-07-27T00:01:57.385380+00:00,left,1,0.521943,session_20260726_234022,0.0,0,[],null,0.0
206,2026-07-27T00:01:57.490439+00:00,left,1,0.627,session_20260726_234022,0.0,0,[],null,0.0
207,2026-07-27T00:01:57.591441+00:00,left,1,0.728002,session_20260726_234022,0.0,0,[],null,0.0
208,2026-07-27T00:01:57.692734+00:00,left,1,0.829304,session_20260726_234022,0.0,0,[],null,0.0
